data_year,offense_code,offense_id
2019,Aggravated Assault,137973986
2019,Robbery,138051160
2019,Rape,138047696
2019,Aggravated Assault,138044578
2019,Robbery,138048173
2019,Robbery,138053458
2019,Aggravated Assault,138053459
2019,Robbery,138053464
2019,Robbery,138053470
2019,Aggravated Assault,138053473
2019,Aggravated Assault,135952020
2019,Aggravated Assault,135952167
2019,Aggravated Assault,135961494
2019,Aggravated Assault,135952538
2019,Rape,135952634
2019,Aggravated Assault,136049775
2019,Aggravated Assault,136035420
2019,Aggravated Assault,136056372
2019,Aggravated Assault,136052105
2019,Aggravated Assault,136052202
2019,Robbery,136056487
2019,Aggravated Assault,136056623
2019,Robbery,136056695
2019,Aggravated Assault,136035847
2019,Robbery,136057301
2019,Robbery,136053015
2019,Robbery,136053119
2019,Robbery,136053196
2019,Robbery,136061580
2019,Aggravated Assault,136057924
2019,Aggravated Assault,136058594
2019,Aggravated Assault,136054077
2019,Aggravated Assault,136045161
2019,Murder and Nonnegligent Manslaughter,136045225
2019,Robbery,136049493
2019,Robbery,136049551
2019,Robbery,136045451
2019,Aggravated Assault,136034193
2019,Aggravated Assault,136045648
2019,Aggravated Assault,136049848
2019,Aggravated Assault,136050000
2019,Murder and Nonnegligent Manslaughter,136045818
2019,Robbery,136050150
2019,Robbery,136046032
2019,Robbery,136034887
2019,Robbery,138053494
2019,Aggravated Assault,138053503
2019,Murder and Nonnegligent Manslaughter,138053504
2019,Robbery,138062094
2019,Rape,138053512
2019,Robbery,138053515
2019,Robbery,138053524
2019,Robbery,138397412
2019,Robbery,138402814
2019,Aggravated Assault,138406474
2019,Aggravated Assault,138397595
2019,Aggravated Assault,138403686
2019,Aggravated Assault,138398119
2019,Rape,138404335
2019,Robbery,138404390
2019,Aggravated Assault,138407775
2019,Aggravated Assault,138398257
2019,Robbery,138398375
2019,Rape,138404996
2019,Robbery,138408153
2019,Aggravated Assault,138408593
2019,Aggravated Assault,138399216
2019,Aggravated Assault,138399219
2019,Aggravated Assault,138411617
2019,Aggravated Assault,138409318
2019,Aggravated Assault,138399287
2019,Aggravated Assault,138399307
2019,Robbery,138411725
2019,Aggravated Assault,138411842
2019,Aggravated Assault,138409570
2019,Robbery,138409981
2019,Robbery,138412311
2019,Robbery,138410128
2019,Robbery,138410218
2019,Murder and Nonnegligent Manslaughter,138412421
2019,Aggravated Assault,138416638
2019,Robbery,136035080
2019,Aggravated Assault,136056289
2019,Aggravated Assault,136052228
2019,Aggravated Assault,136056531
2019,Robbery,136052367
2019,Aggravated Assault,140514264
2019,Aggravated Assault,135455136
2019,Aggravated Assault,135501685
2019,Aggravated Assault,135927991
2019,Aggravated Assault,135928218
2019,Aggravated Assault,135928452
2019,Aggravated Assault,135920512
